,Affiliation,Name,google_scholar_id
0,Massachusetts_Institute_of_Technology,Raymond Ashoori,Lj9Foq0AAAAJ
1,Massachusetts_Institute_of_Technology,William Barletta,None
2,Massachusetts_Institute_of_Technology,John Belcher,aGWtvXsAAAAJ
3,Massachusetts_Institute_of_Technology,Edmund Bertschinger,None
4,Massachusetts_Institute_of_Technology,Claude Canizares,None
5,Massachusetts_Institute_of_Technology,Paola Cappellaro,yM9f9mAAAAAJ
6,Massachusetts_Institute_of_Technology,Deepto Chakrabarty,None
7,Massachusetts_Institute_of_Technology,Arup Chakraborty,1Qle3wUAAAAJ
8,Massachusetts_Institute_of_Technology,Joseph Checkelsky,None
9,Massachusetts_Institute_of_Technology,Min Chen,V96mm8MAAAAJ
10,Massachusetts_Institute_of_Technology,Isaac Chuang,None
11,Massachusetts_Institute_of_Technology,Ibrahim Cissé,SsuqMfwAAAAJ
12,Massachusetts_Institute_of_Technology,Riccardo Comin,None
13,Massachusetts_Institute_of_Technology,Janet Conrad,None
14,Massachusetts_Institute_of_Technology,Bruno Coppi,L4-RcxYAAAAJ
15,Massachusetts_Institute_of_Technology,Ian Crossfield,None
16,Massachusetts_Institute_of_Technology,William Detmold,bARcJ-4AAAAJ
17,Massachusetts_Institute_of_Technology,Netta Engelhardt,4dWrvLgAAAAJ
18,Massachusetts_Institute_of_Technology,Matthew Evans,A6y5O2oAAAAJ
19,Massachusetts_Institute_of_Technology,Nikta Fakhri,L4MWW8wAAAAJ
20,Massachusetts_Institute_of_Technology,Peter Fisher,Th64cmYAAAAJ
21,Massachusetts_Institute_of_Technology,Richard Fletcher,qqy6QW0AAAAJ
22,Massachusetts_Institute_of_Technology,Joseph Formaggio,None
23,Massachusetts_Institute_of_Technology,Anna Frebel,rVMxtOQAAAAJ
24,Massachusetts_Institute_of_Technology,Daniel Freedman,J3wc5rQAAAAJ
25,Massachusetts_Institute_of_Technology,Liang Fu,rS68naIAAAAJ
26,Massachusetts_Institute_of_Technology,Ronald Garcia Ruiz,u64_7U8AAAAJ
27,Massachusetts_Institute_of_Technology,Nuh Gedik,99ZVm60AAAAJ
28,Massachusetts_Institute_of_Technology,Jeff Gore,i-F4LuwAAAAJ
29,Massachusetts_Institute_of_Technology,Alan Guth,None
30,Massachusetts_Institute_of_Technology,Daniel Harlow,lz4HDRwAAAAJ
31,Massachusetts_Institute_of_Technology,Philip Harris,_KHnEUkAAAAJ
32,Massachusetts_Institute_of_Technology,Aram Harrow,6WYsaqMAAAAJ
33,Massachusetts_Institute_of_Technology,Or Hen,5CAjat0AAAAJ
34,Massachusetts_Institute_of_Technology,Jacqueline Hewitt,CbHMkrsAAAAJ
35,Massachusetts_Institute_of_Technology,Scott Hughes,3FunQ3UAAAAJ
36,Massachusetts_Institute_of_Technology,Robert Jaffe,wMl0M1oAAAAJ
37,Massachusetts_Institute_of_Technology,Pablo Jarillo-Herrero,G6F60bEAAAAJ
38,Massachusetts_Institute_of_Technology,John Joannopoulos,None
39,Massachusetts_Institute_of_Technology,Steven Johnson,_MHaph0AAAAJ
40,Massachusetts_Institute_of_Technology,Long Ju,eQdkd0kAAAAJ
41,Massachusetts_Institute_of_Technology,David Kaiser,None
42,Massachusetts_Institute_of_Technology,Erin Kara,None
43,Massachusetts_Institute_of_Technology,Mehran Kardar,NngbhLUAAAAJ
44,Massachusetts_Institute_of_Technology,Wolfgang Ketterle,None
45,Massachusetts_Institute_of_Technology,Markus Klute,mUDHRIQAAAAJ
46,Massachusetts_Institute_of_Technology,Patrick Lee,None
47,Massachusetts_Institute_of_Technology,Yen-Jie Lee,dqp6T_AAAAAJ
48,Massachusetts_Institute_of_Technology,Leonid S. Levitov,None
49,Massachusetts_Institute_of_Technology,Hong Liu,None
50,Massachusetts_Institute_of_Technology,Nuno Loureiro,SEVw3UEAAAAJ
51,Massachusetts_Institute_of_Technology,Kiyoshi Masui,9m94muIAAAAJ
52,Massachusetts_Institute_of_Technology,Nergis Mavalvala,None
53,Massachusetts_Institute_of_Technology,Michael McDonald,i8qTv-AAAAAJ
54,Massachusetts_Institute_of_Technology,Max Metlitski,None
55,Massachusetts_Institute_of_Technology,Richard Milner,TCb05hcAAAAJ
56,Massachusetts_Institute_of_Technology,Leonid Mirny,X31C0h4AAAAJ
57,Massachusetts_Institute_of_Technology,David Moncton,None
58,Massachusetts_Institute_of_Technology,Ernest Moniz,None
59,Massachusetts_Institute_of_Technology,John Negele,a-TzfEMAAAAJ
60,Massachusetts_Institute_of_Technology,Christoph Paus,None
61,Massachusetts_Institute_of_Technology,Kerstin Perez,None
62,Massachusetts_Institute_of_Technology,Miklos Porkolab,None
63,Massachusetts_Institute_of_Technology,David Pritchard,FkNo0_IAAAAJ
64,Massachusetts_Institute_of_Technology,Krishna Rajagopal,sh5gBZUAAAAJ
65,Massachusetts_Institute_of_Technology,Robert Redwine,None
66,Massachusetts_Institute_of_Technology,Gunther Roland,None
67,Massachusetts_Institute_of_Technology,Sara Seager,None
68,Massachusetts_Institute_of_Technology,Phiala Shanahan,K10QI94AAAAJ
69,Massachusetts_Institute_of_Technology,Robert Simcoe,None
70,Massachusetts_Institute_of_Technology,Tracy Slatyer,None
71,Massachusetts_Institute_of_Technology,Marin Soljačić,jpqAJIMAAAAJ
72,Massachusetts_Institute_of_Technology,Iain Stewart,_Y_JJ0gAAAAJ
73,Massachusetts_Institute_of_Technology,Washington Taylor,TH8hP9AAAAAJ
74,Massachusetts_Institute_of_Technology,Max Tegmark,eBXEZxgAAAAJ
75,Massachusetts_Institute_of_Technology,Jesse Thaler,VrC3Pm4AAAAJ
76,Massachusetts_Institute_of_Technology,Samuel Ting,b2A0R8YAAAAJ
77,Massachusetts_Institute_of_Technology,Senthil Todadri,None
78,Massachusetts_Institute_of_Technology,Salvatore Vitale,ff5GrHsAAAAJ
79,Massachusetts_Institute_of_Technology,Mark Vogelsberger,VqHtUUcAAAAJ
80,Massachusetts_Institute_of_Technology,Vladan Vuletić,E_7YsOgAAAAJ
81,Massachusetts_Institute_of_Technology,Rainer Weiss,None
82,Massachusetts_Institute_of_Technology,Xiao-Gang Wen,jfZtuFwAAAAJ
83,Massachusetts_Institute_of_Technology,Frank Wilczek,mzSv5kgAAAAJ
84,Massachusetts_Institute_of_Technology,Mike Williams,4pzRb04AAAAJ
85,Massachusetts_Institute_of_Technology,Lindley Winslow,vwVmUJcAAAAJ
86,Massachusetts_Institute_of_Technology,Boleslaw Wyslouch,None
87,Massachusetts_Institute_of_Technology,Barton Zwiebach,None
88,Massachusetts_Institute_of_Technology,Martin Zwierlein,_2ODBHwAAAAJ
89,Stanford_University,Tom Abel,MKXVcVAAAAAJ
90,Stanford_University,Steven Allen,VLyy644AAAAJ
91,Stanford_University,Roger Blandford,None
92,Stanford_University,Philip Bucksbaum,Kwy5bd0AAAAJ
93,Stanford_University,Patricia Burchat,None
94,Stanford_University,Blas Cabrera,None
95,Stanford_University,Steven Chu,b9Bod2MAAAAJ
96,Stanford_University,Sarah Church,02p2-H8AAAAJ
97,Stanford_University,Savas Dimopoulos,None
98,Stanford_University,Persis Drell,None
99,Stanford_University,Benjamin Ezekiel Feldman,None
100,Stanford_University,David Goldhaber-Gordon,Uria0VYAAAAJ
101,Stanford_University,Peter Graham,Px1pRMMAAAAJ
102,Stanford_University,Giorgio Gratta,4Dy3QEIAAAAJ
103,Stanford_University,Sean Hartnoll,U2qlJmsAAAAJ
104,Stanford_University,Patrick Hayden,xbjTAm4AAAAJ
105,Stanford_University,Jason Hogan,ykG6SNAAAAAJ
106,Stanford_University,Leo Hollberg,None
107,Stanford_University,Kent Irwin,vLvjpeQAAAAJ
108,Stanford_University,Shamit Kachru,AUfXDnoAAAAJ
109,Stanford_University,Steven Kahn,bNNCrVcAAAAJ
110,Stanford_University,Renata Kallosh,cl3FYaEAAAAJ
111,Stanford_University,Aharon Kapitulnik,k89RzXQAAAAJ
112,Stanford_University,Mark Kasevich,None
113,Stanford_University,Vedika Khemani,xXBlOUYAAAAJ
114,Stanford_University,Steven Kivelson,VLyy644AAAAJ
115,Stanford_University,Chao-Lin Kuo,r1rB5R0AAAAJ
116,Stanford_University,Robert Laughlin,tQyfP6IAAAAJ
117,Stanford_University,Benjamin Lev,1DD_56kAAAAJ
118,Stanford_University,Andrei Linde,uOEjwMQAAAAJ
119,Stanford_University,Bruce Macintosh,None
120,Stanford_University,Hari Manoharan,None
121,Stanford_University,Peter Michelson,lj1F5tUAAAAJ
122,Stanford_University,Kathryn Moler,DN7tGooAAAAJ
123,Stanford_University,Vahe Petrosian,None
124,Stanford_University,Xiaoliang Qi,d2jc9KIAAAAJ
125,Stanford_University,Srinivas Raghu,hMpM-fIAAAAJ
126,Stanford_University,Roger Romani,None
127,Stanford_University,Philip Scherrer,gZbybEkAAAAJ
128,Stanford_University,Monika Schleier-Smith,P9DoZBoAAAAJ
129,Stanford_University,Leonardo Senatore,None
130,Stanford_University,Zhi-Xun Shen,P05j1WwAAAAJ
131,Stanford_University,Stephen Shenker,None
132,Stanford_University,Eva Silverstein,None
133,Stanford_University,Douglas Stanford,G3NBUzwAAAAJ
134,Stanford_University,Leonard Susskind,None
135,Stanford_University,Lauren Tompkins,None
136,Stanford_University,Risa Wechsler,83Ahn20AAAAJ
137,Stanford_University,Carl Wieman,h24312AAAAAJ
138,Yale_University,Yoram Alhassid,None
139,Yale_University,Thomas Appelquist,None
140,Yale_University,Keith Baker,t70MOPgAAAAJ
141,Yale_University,Charles Baltay,None
142,Yale_University,Sean Barrett,2mNCvnQAAAAJ
143,Yale_University,Sidney Cahn,pgbDFIMAAAAJ
144,Yale_University,Helen Caines,mGm2pHMAAAAJ
145,Yale_University,Meng Cheng,V96mm8MAAAAJ
146,Yale_University,Eduardo da Silva Neto,pf6ok74AAAAJ
147,Yale_University,Sarah Demers,None
148,Yale_University,Bonnie Fleming,None
149,Yale_University,Steven Girvin,ZQHLxBcAAAAJ
150,Yale_University,Larry Gladney,None
151,Yale_University,Leonid Glazman,None
152,Yale_University,Walter Goldberger,oegohBoAAAAJ
153,Yale_University,Jack Harris,JthRBOIAAAAJ
154,Yale_University,John Harris,WvaolBUAAAAJ
155,Yale_University,Karsten Heeger,1xC8kXYAAAAJ
156,Yale_University,Stephen Irons,None
157,Yale_University,Steve Lamoreaux,VoIPb1YAAAAJ
158,Yale_University,Benjamin Machta,k_Hhll0AAAAJ
159,Yale_University,Reina Maruyama,SJNjUEsAAAAJ
160,Yale_University,Simon Mochrie,None
161,Yale_University,Vincent Moncrief,None
162,Yale_University,David Moore,xorKkfgAAAAJ
163,Yale_University,Daisuke Nagai,Lhi8jeAAAAAJ
164,Yale_University,Nir Navon,Up3yMCEAAAAJ
165,Yale_University,Laura Newburgh,Ktw4lkAAAAAJ
166,Yale_University,Nikhil Padmanabhan,PNAYyPMAAAAJ
167,Yale_University,David Poland,yyAUdh4AAAAJ
168,Yale_University,Rona Ramos,None
169,Yale_University,Nicholas Read,o8_8mbQAAAAJ
170,Yale_University,Ramamurti Shankar,None
171,Yale_University,Witold Skiba,None
172,Yale_University,Adriane Steinacker,None
173,Yale_University,Alison Sweeney,SoWfpOYAAAAJ
174,Yale_University,Paul L. Tipton,None
175,Yale_University,Meg Urry,None
176,Harvard_University,Efthimios Kaxiras,s9cO1fUAAAAJ
177,Harvard_University,Carlos Argüelles-Delgado,None
178,Harvard_University,Jacob A. Barandes,None
179,Harvard_University,Howard C. Berg,None
180,Harvard_University,Michael P. Brenner,ZDL6ITwAAAAJ
181,Harvard_University,Adam E. Cohen,TyX3mJMAAAAJ
182,Harvard_University,Eugene Demler,0qjME1gAAAAJ
183,Harvard_University,Michael M. Desai,UCK6s8wAAAAJ
184,Harvard_University,Louis Deslauriers,687fH5kAAAAJ
185,Harvard_University,John M. Doyle,wZVM1gIAAAAJ
186,Harvard_University,Cora Dvorkin,Hos1S6QAAAAJ
187,Harvard_University,Gary J. Feldman,None
188,Harvard_University,Douglas Finkbeiner,boVy0Y0AAAAJ
189,Harvard_University,Melissa Franklin,hQOr_QIAAAAJ
190,Harvard_University,Gerald Gabrielse,None
191,Harvard_University,Peter L. Galison,None
192,Harvard_University,Howard M. Georgi,zhUj2-oAAAAJ
193,Harvard_University,Sheldon L. Glashow,None
194,Harvard_University,Camille Gómez-Laberge,None
195,Harvard_University,Markus Greiner,_tVJPCUAAAAJ
196,Harvard_University,Roxanne Guenette,None
197,Harvard_University,Girma Hailu,None
198,Harvard_University,Bertrand I. Halperin,None
199,Harvard_University,Lene V. Hau,None
200,Harvard_University,Thomas C. Hayes,None
201,Harvard_University,Eric Heller,lFVsbpIAAAAJ
202,Harvard_University,Jenny Hoffman,CQQsl7YAAAAJ
203,Harvard_University,Gerald Holton,None
204,Harvard_University,Paul Horowitz,None
205,Harvard_University,John Huth,mLhu8GQAAAAJ
206,Harvard_University,Arthur M. Jaffe,None
207,Harvard_University,Daniel L. Jafferis,None
208,Harvard_University,Greg Kestin,None
209,Harvard_University,Philip Kim,EeA-CKIAAAAJ
210,Harvard_University,John M. Kovac,C18wn90AAAAJ
211,Harvard_University,Mikhail Lukin,ppJpl64AAAAJ
212,Harvard_University,L. Mahadevan,iiyj5MsAAAAJ
213,Harvard_University,Vinothan N. Manoharan,XwrePIwAAAAJ
214,Harvard_University,Eric Mazur,6-rjB04AAAAJ
215,Harvard_University,Logan S. McCarty,None
216,Harvard_University,Matteo Mitrano,DMIZ7yoAAAAJ
217,Harvard_University,Masahiro Morii,0TWLCU8AAAAJ
218,Harvard_University,David J. Morin,None
219,Harvard_University,Julia Mundy,J3EwZi0AAAAJ
220,Harvard_University,Cherry A. Murray,None
221,Harvard_University,"Venkatesh (""Venky"") Narayanamurti",None
222,Harvard_University,David R. Nelson,jGboazkAAAAJ
223,Harvard_University,Kang-Kuen Ni,OrPBhnIAAAAJ
224,Harvard_University,Hongkun Park,f8t5S4UAAAAJ
225,Harvard_University,Peter S. Pershan,None
226,Harvard_University,Mara Prentiss,NtjiZPIAAAAJ
227,Harvard_University,Lisa Randall,5uByYrIAAAAJ
228,Harvard_University,Matthew Reece,7-0WtD0AAAAJ
229,Harvard_University,Subir Sachdev,DMIvQbwAAAAJ
230,Harvard_University,Aravinthan Samuel,5x--bWQAAAAJ
231,Harvard_University,Matthew D. Schwartz,None
232,Harvard_University,Irwin Shapiro,None
233,Harvard_University,Isaac F. Silvera,None
234,Harvard_University,Andrew Strominger,None
235,Harvard_University,Christopher W. Stubbs,None
236,Harvard_University,Cumrun Vafa,None
237,Harvard_University,Ashvin Vishwanath,Js1q86YAAAAJ
238,Harvard_University,David A. Weitz,R1cfTCoAAAAJ
239,Harvard_University,Robert Westervelt,RnzsQOEAAAAJ
240,Harvard_University,Tai T. Wu,NQZNdmYAAAAJ
241,Harvard_University,Suyang Xu,c4AG250AAAAJ
242,Harvard_University,Amir Yacoby,slFLfLYAAAAJ
243,Harvard_University,Shing-Tung Yau,Apxg6tgAAAAJ
244,Harvard_University,Susanne Yelin,Cm3EzxwAAAAJ
245,Harvard_University,Xi Yin,ZeFpUO8AAAAJ
246,Harvard_University,Xiaowei Zhuang,YvvpezQAAAAJ
247,Brown_University,Gang Xiao,jfZtuFwAAAAJ
248,Brown_University,Stephon Alexander,None
249,Brown_University,Leon Cooper,5OR1PGcAAAAJ
250,Brown_University,David Cutts,JjwVSbMAAAAJ
251,Brown_University,Ian Dell'Antonio,None
252,Brown_University,JiJi Fan,JaNm_nUAAAAJ
253,Brown_University,Dmitri Feldman,KBPqyJQAAAAJ
254,Brown_University,Richard Gaitskell,8H7V2XkAAAAJ
255,Brown_University,"Sylvester James Gates, Jr.",None
256,Brown_University,Andrey Gromov,D056qfMAAAAJ
257,Brown_University,Ulrich Heintz,jV5I49wAAAAJ
258,Brown_University,Antal Jevicki,None
259,Brown_University,J. Michael Kosterlitz,None
260,Brown_University,Savvas Koushiappas,YMKKhSkAAAAJ
261,Brown_University,Greg Landsberg,Ynoa7w0AAAAJ
262,Brown_University,Jia (Leo) Li,None
263,Brown_University,Xinsheng Sean Ling,q6x-QsgAAAAJ
264,Brown_University,David Lowe,8vs5HGYAAAAJ
265,Brown_University,Brad Marston,eFlwPJYAAAAJ
266,Brown_University,Vesna Mitrović​​,gQIcPSoAAAAJ
267,Brown_University,Meenakshi Narain,4eFp_yQAAAAJ
268,Brown_University,Robert Pelcovits,None
269,Brown_University,Kemp Plumb,b1f3p5IAAAAJ
270,Brown_University,Jonathan Pober,mCvZPDn8heUC
271,Brown_University,Marcus Spradlin,SlXlIcEAAAAJ
272,Brown_University,Derek Stein,Xc2fiPgAAAAJ
273,Brown_University,Chung-I Tan,None
274,Brown_University,Jay Tang,Ijr_R5gAAAAJ
275,Brown_University,Gregory Tucker,nx7R15wAAAAJ
276,Brown_University,"James Valles, Jr.",Qnjo9ZEAAAAJ
277,Brown_University,Anastasia Volovich,O9I8NagAAAAJ
278,University_of_Pennsylvania,University of Pennsylvania School of Arts & Sciences,vrY4DaQAAAAJ
279,University_of_Pennsylvania,James Aguirre,bnWdaogAAAAJ
280,University_of_Pennsylvania,Vijay Balasubramanian,None
281,University_of_Pennsylvania,Danielle Bassett,siYpAPsAAAAJ
282,University_of_Pennsylvania,Eugene Beier,None
283,University_of_Pennsylvania,Mariangela Bernardi,None
