id,Affiliation,Name,google_scholar_id
J2VOJMZQ,Massachusetts_Institute_of_Technology,Raymond Ashoori,Lj9Foq0AAAAJ
RLVHEEXT,Massachusetts_Institute_of_Technology,William Barletta,None
0JWSGGDO,Massachusetts_Institute_of_Technology,John Belcher,aGWtvXsAAAAJ
QXOTPQOX,Massachusetts_Institute_of_Technology,Edmund Bertschinger,None
B8FY7S5N,Massachusetts_Institute_of_Technology,Claude Canizares,None
MRRT946W,Massachusetts_Institute_of_Technology,Paola Cappellaro,yM9f9mAAAAAJ
VCG2ESLA,Massachusetts_Institute_of_Technology,Deepto Chakrabarty,None
HO4VGE7R,Massachusetts_Institute_of_Technology,Arup Chakraborty,1Qle3wUAAAAJ
4G8SUD3Q,Massachusetts_Institute_of_Technology,Joseph Checkelsky,None
L9ISCYN0,Massachusetts_Institute_of_Technology,Min Chen,V96mm8MAAAAJ
HGGDGHU6,Massachusetts_Institute_of_Technology,Isaac Chuang,None
AJLVVH99,Massachusetts_Institute_of_Technology,Ibrahim Cissé,SsuqMfwAAAAJ
OCH328Z2,Massachusetts_Institute_of_Technology,Riccardo Comin,None
7YN1TUQH,Massachusetts_Institute_of_Technology,Janet Conrad,None
8BP6QPYG,Massachusetts_Institute_of_Technology,Bruno Coppi,L4-RcxYAAAAJ
QNE67D2X,Massachusetts_Institute_of_Technology,Ian Crossfield,None
LLHPKQRM,Massachusetts_Institute_of_Technology,William Detmold,bARcJ-4AAAAJ
8EPH3I4Z,Massachusetts_Institute_of_Technology,Netta Engelhardt,4dWrvLgAAAAJ
XFK9D25G,Massachusetts_Institute_of_Technology,Matthew Evans,A6y5O2oAAAAJ
SRAQLP3X,Massachusetts_Institute_of_Technology,Nikta Fakhri,L4MWW8wAAAAJ
MMAE48GL,Massachusetts_Institute_of_Technology,Peter Fisher,Th64cmYAAAAJ
9UMNFOJ6,Massachusetts_Institute_of_Technology,Richard Fletcher,qqy6QW0AAAAJ
52BWG172,Massachusetts_Institute_of_Technology,Joseph Formaggio,None
H3YXZ1J9,Massachusetts_Institute_of_Technology,Anna Frebel,rVMxtOQAAAAJ
3QPA79NK,Massachusetts_Institute_of_Technology,Daniel Freedman,J3wc5rQAAAAJ
X8BYIPK5,Massachusetts_Institute_of_Technology,Liang Fu,rS68naIAAAAJ
ZPZLEQTS,Massachusetts_Institute_of_Technology,Ronald Garcia Ruiz,u64_7U8AAAAJ
ZIN2M8WG,Massachusetts_Institute_of_Technology,Nuh Gedik,99ZVm60AAAAJ
KJ0AMOEQ,Massachusetts_Institute_of_Technology,Jeff Gore,i-F4LuwAAAAJ
87YO4N43,Massachusetts_Institute_of_Technology,Alan Guth,None
GK67Y3XQ,Massachusetts_Institute_of_Technology,Daniel Harlow,lz4HDRwAAAAJ
HK3ULY48,Massachusetts_Institute_of_Technology,Philip Harris,_KHnEUkAAAAJ
NHU7TJ8O,Massachusetts_Institute_of_Technology,Aram Harrow,6WYsaqMAAAAJ
E2BUEY0X,Massachusetts_Institute_of_Technology,Or Hen,5CAjat0AAAAJ
YCZFDN51,Massachusetts_Institute_of_Technology,Jacqueline Hewitt,CbHMkrsAAAAJ
JS8Y24LP,Massachusetts_Institute_of_Technology,Scott Hughes,3FunQ3UAAAAJ
LXH0LH9Z,Massachusetts_Institute_of_Technology,Robert Jaffe,wMl0M1oAAAAJ
N0ECHQLA,Massachusetts_Institute_of_Technology,Pablo Jarillo-Herrero,G6F60bEAAAAJ
XL3H8NP1,Massachusetts_Institute_of_Technology,John Joannopoulos,None
A64NQVO5,Massachusetts_Institute_of_Technology,Steven Johnson,_MHaph0AAAAJ
6L2IH9J0,Massachusetts_Institute_of_Technology,Long Ju,eQdkd0kAAAAJ
3E1GYZEF,Massachusetts_Institute_of_Technology,David Kaiser,None
05CI3WI7,Massachusetts_Institute_of_Technology,Erin Kara,None
GDWPTK2J,Massachusetts_Institute_of_Technology,Mehran Kardar,NngbhLUAAAAJ
E1R2D5T2,Massachusetts_Institute_of_Technology,Wolfgang Ketterle,None
4Q9S571G,Massachusetts_Institute_of_Technology,Markus Klute,mUDHRIQAAAAJ
7ZQW4GYF,Massachusetts_Institute_of_Technology,Patrick Lee,None
FAJL6Z2O,Massachusetts_Institute_of_Technology,Yen-Jie Lee,dqp6T_AAAAAJ
O2CEGWT7,Massachusetts_Institute_of_Technology,Leonid S. Levitov,None
3MH4HEBX,Massachusetts_Institute_of_Technology,Hong Liu,None
K9XONAYY,Massachusetts_Institute_of_Technology,Nuno Loureiro,SEVw3UEAAAAJ
Y9F1M7IH,Massachusetts_Institute_of_Technology,Kiyoshi Masui,9m94muIAAAAJ
DT4ITDAN,Massachusetts_Institute_of_Technology,Nergis Mavalvala,None
SWZWJOKI,Massachusetts_Institute_of_Technology,Michael McDonald,i8qTv-AAAAAJ
2XK539UK,Massachusetts_Institute_of_Technology,Max Metlitski,None
R5POBQS5,Massachusetts_Institute_of_Technology,Richard Milner,TCb05hcAAAAJ
KCPBTZSK,Massachusetts_Institute_of_Technology,Leonid Mirny,X31C0h4AAAAJ
4X4ZE4M3,Massachusetts_Institute_of_Technology,David Moncton,None
H15DXPYN,Massachusetts_Institute_of_Technology,Ernest Moniz,None
V0C2IFX2,Massachusetts_Institute_of_Technology,John Negele,a-TzfEMAAAAJ
JYXLC8BO,Massachusetts_Institute_of_Technology,Christoph Paus,None
KEOY3F0E,Massachusetts_Institute_of_Technology,Kerstin Perez,None
