,Name,Affiliation,google_scholar_id
0,Peter Fisher,Massachusetts_Institute_of_Technology,Th64cmYAAAAJ
1,Philip Harris,Massachusetts_Institute_of_Technology,_KHnEUkAAAAJ
2,Mehran Kardar,Massachusetts_Institute_of_Technology,NngbhLUAAAAJ
3,Steven Allen,Stanford_University,VLyy644AAAAJ
4,Shamit Kachru,Stanford_University,AUfXDnoAAAAJ
5,Steven Kivelson,Stanford_University,VLyy644AAAAJ
6,Philip Scherrer,Stanford_University,gZbybEkAAAAJ
7,Daisuke Nagai,Yale_University,Lhi8jeAAAAAJ
8,Masahiro Morii,Harvard_University,0TWLCU8AAAAJ
9,Leon Cooper,Brown_University,5OR1PGcAAAAJ
10,Dmitri Feldman,Brown_University,KBPqyJQAAAAJ
11,Richard Gaitskell,Brown_University,8H7V2XkAAAAJ
12,Kemp Plumb,Brown_University,b1f3p5IAAAAJ
13,Mirjam Cvetic,University_of_Pennsylvania,W9EGCHEAAAAJ
14,Anthony Chan,Rice_University,h5YpldQAAAAJ
15,Ian Low,Northwestern_University,x0YBH2QAAAAJ
16,Alexander Tchekhovskoy,Northwestern_University,UooLslwAAAAJ
17,Lorenza Viola,Dartmouth_College,aoZ0mC8AAAAJ
18,Tonima Ananna,Dartmouth_College,UZUZHScAAAAJ
19,Murong Qin,Dartmouth_College,ISzQiF4AAAAJ
20,Hui Wang,Dartmouth_College,vsSlT-wAAAAJ
21,Frank C. Porter,California_Institute_of_Technology,tvCkq8wAAAAJ
22,"Dobrowolska, Malgorzata",University_of_Notre_Dame,0pFd_a8AAAAJ
23,"Garg, Umesh",University_of_Notre_Dame,EvI4uM0AAAAJ
24,"Jankó, Boldizsár",University_of_Notre_Dame,-3-J4foAAAAJ
25,"Suh, In-Saeng",University_of_Notre_Dame,RqxqIsEAAAAJ
26,Gaurav Chaudhary,University_of_Chicago,VpXKgAQAAAAJ
27,Julian Gass,University_of_Chicago,At--zQwAAAAJ
28,Mikhail Goykhman,University_of_Chicago,eo4vpEAAAAAJ
29,Munjung Jung,University_of_Chicago,pS5ezPUAAAAJ
30,Kai Li,University_of_Chicago,9MSpWOUAAAAJ
31,Shae Machlus,University_of_Chicago,MUNyiLYAAAAJ
32,Ryan Thomas,University_of_Chicago,tkdF7XgAAAAJ
33,Yau W. Wah,University_of_Chicago,dLypU44AAAAJ
34,Brady Wu,University_of_Chicago,TQ3fj6YAAAAJ
35,Victor Zhang,University_of_Chicago,6Jp_bOoAAAAJ
36,Nicholas Warner,University_of_Southern_California,Zh7QyLQAAAAJ
37,Joseph Kunc,University_of_Southern_California,6d3OIY8AAAAJ
38,Anthony Levi,University_of_Southern_California,-prEKqgAAAAJ
39,Anupam Madhukar,University_of_Southern_California,UjiGdTMAAAAJ
40,Michelle Povinelli,University_of_Southern_California,7EHfSwYAAAAJ
41,Andrew Newman,University_of_Southern_California,XfuACYoAAAAJ
42,Graciela Gelmini,University_of_California_Los_Angeles,2m7CxcIAAAAJ
43,George Grüner,University_of_California_Los_Angeles,1mgA1YgAAAAJ
44,Michael Gutperle,University_of_California_Los_Angeles,1wbunaMAAAAJ
45,Karoly Holczer,University_of_California_Los_Angeles,0CJS1wkAAAAJ
46,Huan Huang,University_of_California_Los_Angeles,KM5ksoYAAAAJ
47,Mohammad Islam,Carnegie_Mellon_University,2fIu-goAAAAJ
48,Colin Morningstar,Carnegie_Mellon_University,8AqWr_4AAAAJ
49,Matthew Walker,Carnegie_Mellon_University,lhjZVXkAAAAJ
50,P.Q. Hung,University_of_Virginia,3iIi7w8AAAAJ
51,Simonetta Liuti,University_of_Virginia,NcBxFDcAAAAJ
52,Daniel Goldman,Georgia_Institute_of_Technology,r7wE4M4AAAAJ
53,Lawrence Hall,University_of_California_Berkeley6,AKHplAUAAAAJ
54,Heather Gray,University_of_California_Berkeley6,fTv_TKMAAAAJ
55,Haichen Wang,University_of_California_Berkeley6,irX4lY8AAAAJ
56,Lay Nam Chang,Virginia_Tech,H-tGD78AAAAJ
57,Hans Robinson,Virginia_Tech,FIyOJAEAAAAJ
58,Stephen Eubank,Virginia_Tech,OEjgtVsAAAAJ
59,David Jenkins,Virginia_Tech,z_IsflYAAAAJ
60,"KRISHNA, Sujata",University_of_Florida,MUmDp18AAAAJ
61,"LAROCHE, Dominique",University_of_Florida,ywW_et0AAAAJ
62,"TANNER, David",University_of_Florida,cdI5QFMAAAAJ
63,"WILL, Clifford",University_of_Florida,nhZn5goAAAAJ
64,Tulika Bose,University_of_Wisconsin,IY8ZatYAAAAJ
65,Deniz Yavuz,University_of_Wisconsin,oCEzj40AAAAJ
66,Bryce Gadway,University_of_Illinois_at_UrbanaChampaign,AK35v68AAAAJ
67,Angela Kou,University_of_Illinois_at_UrbanaChampaign,tnES8xIAAAAJ
68,Cassandra Hall,University_of_Georgia,USGkakkAAAAJ
69,Loris Magnani,University_of_Georgia,6sJ4JbIAAAAJ
70,Henning Meyer,University_of_Georgia,Il1GjHAAAAAJ
71,Eric Suter,University_of_Georgia,EBWa8XQAAAAJ
72,Govind Agrawal,University_of_Rochester,StqcycAAAAAJ
73,"Mamajek, Eric",University_of_Rochester,qQsWNi4AAAAJ
74,Sunxiang Huang,University_of_Miami,ruCjiBYAAAAJ
75,Moussa N'Gom,Rensselaer_Polytechnic_Institute,iSQVShsAAAAJ
76,Ingrid Wilke,Rensselaer_Polytechnic_Institute,4-XDdPMAAAAJ
77,"Hobbs, Tim",Southern_Methodist_University,jgzXvxUAAAAJ
78,"Anderson, Brian",Brigham_Young_University,6Slzb38AAAAJ
79,"Hirschmann, Eric",Brigham_Young_University,tCNVltYAAAAJ
80,"Ragozzine, Darin",Brigham_Young_University,xQHmMn1DJEoC
81,Walter Lambrecht,Case_Western_Reserve_University,3ZdpETkAAAAJ
82,Matthew Escarra,Tulane_University,-mEWMr0AAAAJ
83,Ke Wang,University_of_Minnesota_Twin_Cities,5AUqCHcAAAAJ
84,John Wygant,University_of_Minnesota_Twin_Cities,dWB3r9oAAAAJ
85,"al-Binni, Usama",University_of_Washington,aA3cB0oAAAAJ
86,"Doe, Peter",University_of_Washington,oSVFMHMAAAAJ
87,John F. Beacom,The_Ohio_State_University,iU6WRe8AAAAJ
88,Abraham Camacho Garibay,The_Ohio_State_University,Sr4kn4sAAAAJ
89,Ivan Esteban,The_Ohio_State_University,hVki_fkAAAAJ
90,Xilin Zhang,The_Ohio_State_University,_AQ4rjcAAAAJ
91,Francisco Ayala Rodriguez,The_Ohio_State_University,UpQXyQgAAAAJ
92,Jose Flores,The_Ohio_State_University,6mIO5hUAAAAJ
93,Brandon Harris,The_Ohio_State_University,SSsNpeoAAAAJ
94,Roshan Joshi,The_Ohio_State_University,TqCHHqQAAAAJ
95,Dmitry Shcherbakov,The_Ohio_State_University,rTPJNDAAAAAJ
96,Guanzhong Wu,The_Ohio_State_University,KboIDasAAAAJ
97,Ms. Lijuan Wang,The_Ohio_State_University,cDcWXuIAAAAJ
98,"Takacs, Endre",Clemson_University,KjvFUBIAAAAJ
99,"Tewari, Sumanta",Clemson_University,oA9OQ5IAAAAJ
100,Ayres Freitas,University_of_Pittsburgh,tAtL3I4AAAAJ
101,David Nero,University_of_Pittsburgh,AjOoLK0AAAAJ
102,John Stein,University_of_Pittsburgh,KpBKATQAAAAJ
103,"Davoudi, Zohreh",University_of_Maryland_College_Park,w_l2ofYAAAAJ
104,"Hadley, Nicholas",University_of_Maryland_College_Park,QNtFDxMAAAAJ
105,"Monroe, Christopher",University_of_Maryland_College_Park,9rrnu-0AAAAJ
106,"Roos, Philip",University_of_Maryland_College_Park,U2L_hSAAAAAJ
107,"Roy, Rajarshi",University_of_Maryland_College_Park,QL3quxsAAAAJ
108,"Shawhan, Peter",University_of_Maryland_College_Park,Lc-aQ3QAAAAJ
109,"Tanner, Kandice",University_of_Maryland_College_Park,3MOjKfcAAAAJ
110,"Waks, Edo",University_of_Maryland_College_Park,RksVZ5IAAAAJ
111,Matthew Headrick,Brandeis_University,sKcZXasAAAAJ
